V Grade,days outdoors,age,sex,height,weight,span,years climbing,years training,# pullups,# pushups,ape index,Weighted hang ratio,Weighted pull ratio
5.0,2.5,40,0.0,71.0,175.0,73.0,3.0,1.0,12.0,33.0,2.0,1.0285714285714285,1.4
5.0,4.166666666666667,25,0.0,72.0,187.0,74.0,5.0,1.0,14.0,30.0,2.0,1.1871657754010696,1.427807486631016
5.0,3.3333333333333335,31,1.0,62.0,130.0,64.0,5.0,1.0,9.0,13.0,2.0,1.2692307692307692,1.2692307692307692
10.0,3.3333333333333335,31,1.0,61.0,110.0,62.0,11.0,11.0,15.0,24.0,1.0,1.8181818181818183,1.5454545454545454
7.0,3.3333333333333335,39,0.0,73.0,170.0,73.0,11.0,5.0,15.0,30.0,0.0,1.576470588235294,1.488235294117647
9.0,8.333333333333334,41,0.0,70.0,205.0,72.0,11.0,7.0,7.0,12.0,2.0,1.2439024390243902,1.2146341463414634
5.0,5.0,30,0.0,69.0,155.0,72.0,5.0,3.0,17.0,26.0,3.0,1.3225806451612903,1.5806451612903225
6.0,6.666666666666667,35,0.0,67.0,150.0,67.0,11.0,1.0,13.0,26.0,0.0,1.4333333333333333,1.4
8.0,0.8333333333333334,38,1.0,62.0,135.0,64.0,11.0,1.0,12.0,31.0,2.0,1.4444444444444444,1.3703703703703702
10.0,14.583333333333334,39,0.0,67.0,153.0,70.0,11.0,5.0,14.0,20.0,3.0,1.457516339869281,1.65359477124183
8.0,10.0,33,0.0,71.5,150.0,73.0,11.0,5.0,19.0,34.0,1.5,1.58,1.8
6.0,6.666666666666667,35,0.0,67.0,150.0,69.0,11.0,1.0,13.0,26.0,2.0,1.4333333333333333,1.4
10.0,8.333333333333334,33,0.0,66.0,135.0,64.0,9.0,5.0,21.0,45.0,-2.0,1.7407407407407407,1.7777777777777777
7.0,8.333333333333334,38,,69.0,167.0,69.5,11.0,3.0,15.0,41.0,0.5,1.3293413173652695,1.2694610778443114
7.0,6.666666666666667,31,1.0,67.0,150.0,65.0,3.0,1.0,5.0,7.0,-2.0,1.4,1.2666666666666666
9.0,3.3333333333333335,23,0.0,74.0,186.0,78.0,5.0,1.0,23.0,33.0,4.0,1.564516129032258,1.6666666666666665
6.0,10.0,35,0.0,72.0,165.0,74.0,3.0,0.0,12.0,34.0,2.0,1.2545454545454544,1.4545454545454546
5.0,2.5,36,0.0,67.5,176.0,71.0,9.0,3.0,11.0,30.0,3.5,1.1988636363636362,1.3693181818181819
10.0,8.88888888888889,29,0.0,68.0,160.0,71.0,11.0,11.0,15.0,23.0,3.0,1.4375,1.625
8.0,3.3333333333333335,28,0.0,77.0,200.0,78.0,9.0,3.0,9.0,12.0,1.0,1.17,1.245
7.0,1.6666666666666667,28,0.0,72.0,175.0,72.0,3.0,1.0,14.0,28.0,0.0,1.2,1.6
6.0,3.3333333333333335,30,1.0,61.0,125.0,62.0,5.0,1.0,11.0,17.0,1.0,1.32,1.296
5.0,3.3333333333333335,31,1.0,65.7,130.0,65.7,5.0,3.0,10.0,32.0,0.0,1.1,1.2538461538461538
5.0,8.333333333333334,27,1.0,68.0,145.0,,5.0,3.0,7.0,16.0,,1.1379310344827587,1.2758620689655173
4.0,5.333333333333333,30,,67.0,149.0,65.0,7.0,1.0,3.0,40.0,-2.0,1.2080536912751678,1.2348993288590604
7.0,5.0,32,0.0,60.0,163.0,65.0,5.0,1.0,15.0,27.0,5.0,1.3067484662576687,1.4294478527607362
7.0,4.888888888888889,46,0.0,70.0,165.0,72.0,11.0,7.0,23.0,51.0,2.0,1.6666666666666665,1.6666666666666665
9.0,5.916666666666667,34,0.0,66.0,140.0,65.0,11.0,0.0,14.0,33.0,-1.0,1.5357142857142856,1.5
10.0,13.333333333333334,43,0.0,72.0,150.0,73.0,11.0,1.0,17.0,21.0,1.0,1.4,1.4133333333333333
7.0,13.333333333333334,27,1.0,64.0,145.0,66.0,11.0,7.0,14.0,35.0,2.0,1.3448275862068966,1.5172413793103448
8.0,9.166666666666666,27,0.0,71.0,173.0,74.0,7.0,3.0,15.0,28.0,3.0,1.5202312138728322,1.5202312138728322
10.0,10.0,31,1.0,59.45,113.0,59.5,11.0,1.0,16.0,30.0,0.04999999999999716,1.7964601769911503,1.5398230088495575
10.0,13.333333333333334,27,1.0,60.0,115.0,62.0,11.0,3.0,21.0,30.0,2.0,1.8695652173913042,1.6521739130434783
7.0,8.333333333333334,38,0.0,69.0,164.0,69.5,11.0,3.0,16.0,42.0,0.5,1.4573170731707317,1.3658536585365852
6.0,5.0,24,0.0,71.0,155.0,72.0,3.0,1.0,16.0,24.0,1.0,1.535483870967742,1.4516129032258065
7.0,2.5,45,0.0,72.0,156.0,74.0,11.0,3.0,16.0,32.0,2.0,1.3717948717948718,1.4807692307692308
7.0,5.0,46,0.0,69.0,161.0,71.0,11.0,7.0,19.0,39.0,2.0,1.4658385093167703,1.5900621118012421
8.0,16.666666666666668,31,1.0,67.0,125.0,64.5,9.0,3.0,9.0,18.0,-2.5,1.24,1.48
9.0,16.666666666666668,29,0.0,70.0,155.0,70.0,9.0,3.0,28.0,35.0,0.0,1.3548387096774195,1.7419354838709677
7.0,8.333333333333334,27,0.0,70.0,147.0,68.0,3.0,0.0,20.0,26.0,-2.0,1.6870748299319729,1.619047619047619
10.0,4.166666666666667,24,0.0,72.0,164.0,75.0,5.0,1.0,23.0,35.0,3.0,1.7317073170731707,1.6707317073170733
8.0,10.833333333333334,26,0.0,69.25,160.2,69.5,9.0,3.0,15.0,30.0,0.25,1.4369538077403246,1.5617977528089888
7.0,8.333333333333334,34,0.0,67.0,143.0,68.0,9.0,3.0,16.0,34.0,1.0,1.6293706293706294,1.5594405594405596
8.0,11.11111111111111,25,0.0,71.0,162.0,73.5,7.0,1.0,14.0,31.0,2.5,1.2777777777777777,1.4320987654320987
11.0,8.333333333333334,33,0.0,71.5,175.0,75.5,11.0,3.0,19.0,33.0,4.0,1.6285714285714286,1.657142857142857
8.0,3.75,48,0.0,70.0,148.0,70.0,11.0,5.0,15.0,38.0,0.0,1.3581081081081081,1.4189189189189189
11.0,7.5,37,0.0,66.0,130.0,70.5,11.0,7.0,26.0,42.0,4.5,1.6,1.7307692307692308
11.0,9.166666666666666,34,0.0,67.0,148.0,73.0,11.0,1.0,12.0,22.0,6.0,1.2364864864864864,1.4797297297297298
9.0,10.0,32,0.0,72.5,196.0,74.5,11.0,7.0,14.0,22.0,2.0,1.3316326530612246,1.433673469387755
3.0,6.666666666666667,59,1.0,65.0,148.0,65.0,11.0,1.0,0.0,11.0,0.0,1.0,1.0
7.0,1.1111111111111112,42,0.0,71.0,192.0,74.0,11.0,5.0,15.0,25.0,3.0,1.3802083333333333,1.4010416666666667
5.0,2.5,32,0.0,72.0,165.0,73.0,5.0,1.0,20.0,70.0,1.0,1.303030303030303,1.4545454545454546
7.0,8.333333333333334,41,0.0,73.0,182.0,72.5,11.0,11.0,14.0,30.0,-0.5,1.3681318681318682,1.5494505494505495
9.0,5.555555555555555,29,1.0,67.0,115.0,66.5,5.0,1.0,14.0,14.0,-0.5,1.4608695652173913,1.3304347826086955
5.0,7.777777777777778,34,0.0,74.0,180.0,73.0,9.0,1.0,14.0,30.0,-1.0,1.3333333333333333,1.4444444444444444
10.0,5.0,28,0.0,76.0,198.0,81.0,5.0,0.0,13.0,21.0,5.0,1.1262626262626263,1.404040404040404
9.0,6.666666666666667,41,0.0,71.26,156.83,72.83,11.0,3.0,12.0,25.0,1.5699999999999932,1.3373716763374355,1.6185041127335331
3.0,2.2222222222222223,36,0.0,71.0,180.0,71.0,9.0,0.0,11.0,31.0,0.0,1.1388888888888888,1.3555555555555556
9.0,10.0,36,0.0,67.0,150.0,66.0,11.0,3.0,21.0,34.0,-1.0,1.58,1.7333333333333334
6.0,3.3333333333333335,39,1.0,67.0,145.0,64.0,11.0,3.0,11.0,13.0,-3.0,1.4482758620689655,1.4482758620689655
5.0,1.6666666666666667,24,1.0,62.5,119.0,62.5,3.0,0.0,7.0,20.0,0.0,1.2100840336134453,1.1680672268907564
7.0,5.0,35,0.0,57.0,145.0,59.0,11.0,1.0,13.0,56.0,2.0,,1.4137931034482758
8.0,3.3333333333333335,28,0.0,72.0,180.0,72.0,3.0,1.0,14.0,26.0,0.0,1.3333333333333333,1.6333333333333333
3.0,2.3333333333333335,51,0.0,71.5,165.0,73.0,11.0,1.0,14.0,32.0,1.5,1.5454545454545454,1.4545454545454546
8.0,0.0,31,0.0,72.0,177.0,73.0,5.0,1.0,16.0,39.0,1.0,1.3728813559322033,1.7457627118644068
11.0,4.166666666666667,30,0.0,67.0,140.0,69.0,11.0,7.0,21.0,26.0,2.0,1.6071428571428572,1.6428571428571428
5.0,1.6666666666666667,27,1.0,64.0,113.0,64.75,3.0,0.0,10.0,24.0,0.75,1.3539823008849559,1.3185840707964602
12.0,4.166666666666667,22,0.0,73.0,175.0,73.0,11.0,5.0,25.0,35.0,0.0,1.7142857142857144,2.0
5.0,7.5,43,0.0,72.0,176.0,72.0,11.0,5.0,25.0,23.0,0.0,1.2272727272727273,1.3977272727272727
7.0,6.666666666666667,26,0.0,68.0,145.0,73.0,1.0,1.0,20.0,36.0,5.0,1.3655172413793104,1.4827586206896552
8.0,,32,1.0,62.0,135.0,62.0,9.0,1.0,13.0,20.0,0.0,1.2592592592592593,1.3703703703703702
8.0,6.666666666666667,30,1.0,66.0,142.0,64.0,7.0,7.0,,,-2.0,1.563380281690141,1.352112676056338
8.0,4.166666666666667,47,0.0,69.0,169.0,71.0,11.0,9.0,18.0,41.0,2.0,1.532544378698225,1.532544378698225
9.0,0.0,28,1.0,63.0,130.0,64.0,5.0,3.0,14.0,20.0,1.0,1.6153846153846154,1.5769230769230769
6.0,2.2222222222222223,29,0.0,70.0,174.0,71.0,5.0,1.0,12.0,36.0,1.0,1.2528735632183907,1.5114942528735633
8.0,20.0,38,0.0,69.0,165.0,72.0,9.0,7.0,14.0,31.0,3.0,1.606060606060606,1.6363636363636362
6.0,4.166666666666667,41,0.0,68.5,148.0,69.75,11.0,1.0,14.0,29.0,1.25,1.2702702702702702,1.5405405405405406
10.0,8.333333333333334,31,0.0,70.0,170.0,70.0,11.0,7.0,15.0,35.0,0.0,1.776470588235294,1.6235294117647059
3.0,5.0,32,0.0,76.0,198.0,,5.0,1.0,2.0,15.0,,1.0151515151515151,1.0757575757575757
6.0,4.444444444444445,29,0.0,68.0,140.0,68.0,5.0,3.0,17.0,33.0,0.0,1.3928571428571428,1.5785714285714287
9.0,2.0833333333333335,33,0.0,73.0,160.0,74.0,5.0,3.0,8.0,13.0,1.0,1.53125,1.3125
4.0,6.666666666666667,43,0.0,74.0,197.0,72.0,11.0,3.0,9.0,20.0,-2.0,1.2791878172588833,1.2791878172588833
9.0,20.833333333333332,42,0.0,70.0,195.0,72.0,11.0,11.0,10.0,10.0,2.0,1.4102564102564101,1.282051282051282
7.0,8.333333333333334,39,0.0,69.0,164.0,69.5,11.0,5.0,15.0,41.0,0.5,1.4268292682926829,1.3963414634146343
5.0,0.5,35,1.0,64.0,138.0,66.0,7.0,5.0,8.0,16.0,2.0,1.318840579710145,1.289855072463768
10.0,16.666666666666668,42,1.0,62.0,117.0,62.0,11.0,5.0,18.0,35.0,0.0,1.5811965811965814,1.5555555555555556
10.0,5.0,32,1.0,61.0,108.0,62.0,11.0,11.0,14.0,30.0,1.0,1.8796296296296298,1.6481481481481481
4.0,6.25,52,0.0,66.5,150.0,68.0,11.0,3.0,18.0,35.0,1.5,1.2866666666666666,1.4666666666666668
8.0,1.3333333333333333,19,0.0,71.0,150.0,72.0,1.0,1.0,18.0,20.0,1.0,1.3,1.6333333333333333
10.0,5.0,29,0.0,66.0,153.0,68.0,9.0,3.0,23.0,31.0,2.0,1.607843137254902,1.8627450980392157
5.0,3.3333333333333335,17,0.0,69.0,130.0,71.0,1.0,0.0,13.0,22.0,2.0,1.3076923076923077,1.5076923076923077
3.0,0.0,21,0.0,69.0,154.0,67.0,0.0,0.0,17.0,53.0,-2.0,1.275974025974026,1.6103896103896105
4.0,0.3333333333333333,30,0.0,71.0,178.0,71.0,1.0,1.0,11.0,35.0,0.0,,
5.0,,33,0.0,,154.0,,7.0,1.0,11.0,32.0,,1.7142857142857144,1.2857142857142856
4.0,4.444444444444445,30,0.0,66.5,145.0,67.1,1.0,1.0,23.0,40.0,0.5999999999999943,1.0413793103448277,1.5310344827586206
6.0,1.6666666666666667,30,0.0,72.0,165.0,72.0,3.0,1.0,17.0,50.0,0.0,1.1818181818181819,1.4545454545454546
9.0,2.5,24,0.0,72.44,176.0,73.23,11.0,11.0,23.0,40.0,0.7900000000000063,1.8977272727272727,1.6761363636363638
8.0,5.0,34,0.0,67.3,141.0,68.0,5.0,1.0,20.0,60.0,0.7000000000000028,1.2836879432624113,1.2836879432624113
7.0,11.666666666666666,28,0.0,71.0,165.0,74.0,7.0,1.0,12.0,19.0,3.0,1.2121212121212122,1.3333333333333333
10.0,10.0,34,0.0,66.0,135.0,64.0,11.0,5.0,22.0,50.0,-2.0,1.7777777777777777,1.8148148148148149
8.0,4.166666666666667,27,1.0,67.0,135.0,67.0,11.0,1.0,12.0,18.0,0.0,1.4074074074074074,1.3703703703703702
5.0,2.0,37,1.0,62.0,118.0,62.0,9.0,1.0,8.0,8.0,0.0,1.1271186440677967,1.3898305084745763
6.0,2.7777777777777777,35,0.0,67.0,137.0,66.5,11.0,3.0,16.0,34.0,-0.5,1.4744525547445255,1.5474452554744524
4.0,4.166666666666667,51,0.0,70.0,166.0,71.5,11.0,5.0,10.0,16.0,1.5,1.2710843373493976,1.3734939759036144
6.0,5.0,39,0.0,68.0,155.0,70.0,5.0,1.0,17.0,31.0,2.0,1.2258064516129032,1.5483870967741935
10.0,6.666666666666667,36,0.0,66.0,135.0,67.0,11.0,5.0,24.0,48.0,1.0,1.5925925925925926,1.7777777777777777
5.0,5.0,28,0.0,67.0,130.0,67.0,3.0,1.0,20.0,50.0,0.0,1.5384615384615383,1.8846153846153846
3.0,0.4166666666666667,29,1.0,60.75,103.0,60.0,1.0,1.0,12.0,19.0,-0.75,1.145631067961165,1.4077669902912622
5.0,,48,1.0,63.0,125.0,63.0,11.0,1.0,7.0,15.0,0.0,1.28,1.176
10.0,6.666666666666667,25,0.0,73.0,166.0,74.0,5.0,1.0,32.0,48.0,1.0,1.4518072289156627,1.8132530120481927
7.0,16.666666666666668,34,0.0,68.89,160.0,70.0,7.0,3.0,17.0,34.0,1.1099999999999994,1.43125,1.65
10.0,10.0,24,0.0,72.0,172.0,76.0,3.0,1.0,24.0,37.0,4.0,1.5813953488372094,1.8284883720930232
9.0,5.416666666666667,28,0.0,67.5,163.0,67.5,11.0,7.0,14.0,41.0,0.0,1.6748466257668713,1.705521472392638
4.0,2.5555555555555554,55,0.0,66.9,131.0,70.0,11.0,5.0,27.0,28.0,3.0999999999999943,1.3893129770992365,1.6488549618320612
10.0,6.25,48,0.0,68.0,152.0,68.0,11.0,11.0,18.0,37.0,0.0,1.756578947368421,1.5723684210526314
9.0,5.555555555555555,22,0.0,72.0,187.0,74.0,1.0,1.0,28.0,60.0,2.0,1.5454545454545454,1.7647058823529411
11.0,15.0,29,1.0,64.0,123.0,68.0,7.0,1.0,,,4.0,1.6097560975609757,1.4471544715447155
6.0,5.0,36,1.0,65.0,150.0,65.0,11.0,1.0,7.0,13.0,0.0,1.3,1.2333333333333334
7.0,5.833333333333333,42,0.0,70.0,160.0,74.0,11.0,11.0,20.0,,4.0,1.375,1.4375
5.0,4.444444444444445,24,0.0,70.5,150.0,72.5,3.0,1.0,15.0,30.0,2.0,1.2,1.5833333333333335
12.0,8.333333333333334,32,0.0,75.0,167.0,78.0,11.0,11.0,16.0,10.0,3.0,1.5988023952095807,1.4790419161676647
3.0,3.888888888888889,32,0.0,75.0,198.0,,7.0,1.0,12.0,31.0,,1.121212121212121,1.2777777777777777
7.0,4.0,31,0.0,70.0,131.0,67.0,11.0,7.0,18.0,33.0,-3.0,1.618320610687023,1.6488549618320612
5.0,3.0,33,0.0,73.0,187.0,72.0,5.0,5.0,13.0,25.0,-1.0,1.1871657754010696,1.4545454545454546
10.0,6.111111111111111,41,0.0,69.0,150.0,70.0,11.0,7.0,17.0,31.0,1.0,1.6,1.5333333333333332
8.0,4.0,28,0.0,70.0,185.0,75.0,3.0,1.0,18.0,35.0,5.0,1.4324324324324325,1.4864864864864864
8.0,3.3333333333333335,28,0.0,68.0,160.0,69.0,7.0,3.0,16.0,25.0,1.0,1.4875,1.8
5.0,2.0833333333333335,32,0.0,72.0,180.0,74.0,11.0,7.0,16.0,31.0,2.0,1.3333333333333333,1.5555555555555556
4.0,2.0,50,0.0,67.5,168.0,68.5,11.0,1.0,4.0,5.0,1.0,1.0595238095238095,1.0595238095238095
8.0,4.166666666666667,28,1.0,67.0,137.0,67.0,11.0,3.0,15.0,26.0,0.0,1.510948905109489,1.4014598540145986
6.0,10.0,31,0.0,69.0,162.0,71.0,5.0,1.0,14.0,30.0,2.0,1.3395061728395061,1.5555555555555556
5.0,3.3333333333333335,34,0.0,71.0,175.0,71.0,3.0,1.0,17.0,52.0,0.0,1.3542857142857143,1.5714285714285714
5.0,0.8333333333333334,29,0.0,66.5,149.0,68.2,5.0,1.0,21.0,39.0,1.7000000000000028,1.4161073825503356,1.7046979865771812
8.0,6.666666666666667,32,0.0,71.0,188.0,72.0,9.0,7.0,12.0,31.0,1.0,1.2659574468085106,1.372340425531915
12.0,4.166666666666667,36,1.0,65.0,105.0,68.0,9.0,5.0,14.0,25.0,3.0,1.4761904761904763,1.4
8.0,2.5,38,0.0,72.0,163.0,72.0,11.0,11.0,19.0,26.0,0.0,1.50920245398773,1.441717791411043
10.0,12.5,29,0.0,76.0,205.0,81.0,5.0,1.0,12.0,16.0,5.0,1.1951219512195121,1.4878048780487805
4.0,5.0,52,0.0,71.0,176.0,73.0,9.0,3.0,11.0,18.0,2.0,1.1704545454545454,1.3125
8.0,8.333333333333334,35,0.0,67.0,145.0,,11.0,5.0,17.0,33.0,,1.5172413793103448,1.5517241379310345
8.0,5.833333333333333,22,0.0,70.0,170.0,72.0,5.0,3.0,21.0,33.0,2.0,1.6176470588235294,1.6176470588235294
10.0,11.666666666666666,25,0.0,73.0,170.0,74.0,7.0,1.0,33.0,58.0,1.0,1.7058823529411766,1.8529411764705883
4.0,1.6666666666666667,33,0.0,72.0,175.0,70.0,7.0,3.0,11.0,31.0,-2.0,1.2285714285714286,1.3542857142857143
9.0,8.333333333333334,32,0.0,66.0,156.0,66.0,7.0,5.0,12.0,25.0,0.0,1.5128205128205128,1.6730769230769231
7.0,4.166666666666667,27,1.0,62.0,141.0,67.0,5.0,1.0,12.0,23.0,5.0,1.4397163120567376,1.4397163120567376
13.0,4.166666666666667,25,0.0,70.8,147.0,74.0,11.0,1.0,14.0,30.0,3.200000000000003,1.598639455782313,1.598639455782313
8.0,12.5,29,0.0,72.0,176.0,73.0,11.0,5.0,12.0,44.0,1.0,1.4545454545454546,1.5397727272727273
7.0,5.833333333333333,39,0.0,73.0,155.0,77.0,11.0,9.0,7.0,35.0,4.0,1.4193548387096775,1.2903225806451613
7.0,2.7777777777777777,32,0.0,73.0,158.0,72.0,11.0,3.0,15.0,25.0,-1.0,1.2088607594936709,1.4430379746835442
7.0,8.333333333333334,39,0.0,69.0,170.0,69.5,11.0,5.0,15.0,40.0,0.5,1.5,1.3529411764705883
10.0,3.3333333333333335,26,0.0,71.0,161.0,79.0,9.0,5.0,19.0,26.0,8.0,1.6832298136645962,1.7577639751552794
10.0,5.555555555555555,26,0.0,71.0,161.0,79.0,11.0,5.0,19.0,26.0,8.0,1.7142857142857144,1.7515527950310559
7.0,1.6666666666666667,35,0.0,70.4,146.0,70.0,7.0,3.0,12.0,35.0,-0.4000000000000057,1.5616438356164384,1.6369863013698631
7.0,0.8333333333333334,30,0.0,71.5,165.0,73.0,5.0,3.0,20.0,87.0,1.5,1.9393939393939394,1.8181818181818183
5.0,3.3333333333333335,30,0.0,71.0,155.0,73.0,5.0,1.0,17.0,27.0,2.0,1.064516129032258,1.5483870967741935
9.0,6.666666666666667,33,1.0,63.5,140.0,64.0,11.0,3.0,11.0,4.0,0.5,1.3785714285714286,1.25
13.0,6.25,25,0.0,70.5,153.0,74.0,11.0,11.0,21.0,32.0,3.5,2.0784313725490193,1.915032679738562
7.0,13.0,30,1.0,62.0,119.0,62.0,5.0,3.0,13.0,16.0,0.0,1.46218487394958,1.3781512605042017
8.0,1.25,27,0.0,73.0,145.0,76.0,7.0,1.0,17.0,25.0,3.0,1.4827586206896552,1.4827586206896552
